Date,Name / Description,Account,Counterparty,Code,Debit/credit,Amount (PLN),Transaction type,Notifications
2025-04-02,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-02-15,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8394.35,Salary,
2024-10-28,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-06-30,ZUS,PL45116022020000000478251704,ZUS,,D,467.53,Tax,
2024-07-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9735.71,Salary,
2024-07-04,Netflix,PL45116022020000000478251704,Netflix,,D,440.59,Entertainment,
2025-03-11,Żabka,PL45116022020000000478251704,Żabka,,D,592.78,Groceries,
2024-11-07,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7136.31,Salary,
2024-12-23,Bolt,PL45116022020000000478251704,Bolt,,D,67.41,Transport,
2024-07-18,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,302.34,Transport,
2025-03-16,Żabka,PL45116022020000000478251704,Żabka,,D,351.31,Groceries,
2025-02-15,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-07-06,Żabka,PL45116022020000000478251704,Żabka,,D,148.42,Groceries,
2024-08-07,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,100.66,Transport,
2025-04-03,KFC,PL45116022020000000478251704,KFC,,D,77.83,Dining,
2024-07-05,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,200.0,ATM Withdrawl,
2025-04-13,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11411.08,Salary,
2024-08-22,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,2004.69,Cash Deposit,
2025-02-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13856.03,Salary,
2024-12-07,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,111.49,Transport,
2025-01-22,Żabka,PL45116022020000000478251704,Żabka,,D,497.86,Groceries,
2025-03-28,Lidl,PL45116022020000000478251704,Lidl,,D,508.4,Groceries,
2025-05-29,KFC,PL45116022020000000478251704,KFC,,D,429.69,Dining,
2025-05-07,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,200.0,ATM Withdrawl,
2024-10-12,Veolia,PL45116022020000000478251704,Veolia,,D,209.2,Utilities,
2024-08-11,Veolia,PL45116022020000000478251704,Veolia,,D,512.61,Utilities,
2025-06-08,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12596.08,Salary,
2025-06-07,McDonald's,PL45116022020000000478251704,McDonald's,,D,461.56,Dining,
2025-05-06,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,53.85,Tax,
2024-12-29,Uber,PL45116022020000000478251704,Uber,,D,135.89,Transport,
2025-03-16,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,200.0,ATM Withdrawl,
2024-10-31,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,300.0,ATM Withdrawl,
2024-08-28,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,546.15,Transport,
2024-10-30,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-06-04,Uber,PL45116022020000000478251704,Uber,,D,93.89,Transport,
2024-08-24,Spotify,PL45116022020000000478251704,Spotify,,D,115.37,Entertainment,
2024-07-09,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-09-25,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,300.0,ATM Withdrawl,
